Problem	Solved	Aha Correct			Aha Incorrect			Average RT	
	(%)	mean	sd	skew	mean	sd	skew	mean	sd
sweet	20	87.43	23.29	– 2.55	21.80	27.85	1.15	23.33	8.92
day	53	79.78	24.15	– 1.38	29.15	34.30	0.83	17.36	9.97
care	44	78.51	26.64	– 1.57	28.71	33.39	0.86	17.98	9.87
nut	36	77.86	31.03	– 1.42	18.92	25.44	1.33	21.41	8.96
blue	52	77.83	26.66	– 1.53	28.77	31.32	0.66	16.87	9.29
power	7	77.75	18.51	0.11	17.45	27.01	1.52	26.05	6.44
tape	64	77.17	25.94	– 1.56	19.64	27.91	1.43	16.09	8.96
fire	75	77.03	27.33	– 1.52	25.52	30.47	0.78	13.15	8.61
super	26	76.93	25.66	– 1.13	27.12	31.18	0.77	21.69	8.75
gold	55	76.34	24.51	– 1.17	24.24	27.49	0.94	17.84	9.29
fast	52	74.45	28.80	– 1.35	18.35	27.21	1.35	18.66	9.90
stone	23	73.58	25.41	– 0.75	18.29	27.44	1.50	23.80	8.23
match	17	73.50	29.77	– 1.49	16.86	23.67	1.39	23.68	8.51
eye	9	73.30	36.02	– 0.86	21.43	28.51	1.17	24.56	7.65
bag	76	72.56	29.22	– 1.17	20.67	28.19	1.14	13.38	8.94
common	45	72.24	29.27	– 1.24	23.64	25.60	0.85	18.82	9.25
birth	14	71.60	37.70	– 0.93	22.79	28.55	1.02	23.90	7.81
book	56	71.51	28.74	– 0.97	22.39	26.13	1.11	16.86	9.36
dead	19	71.35	27.48	– 0.79	27.00	32.45	0.84	22.76	8.51
soap	28	70.00	28.75	– 0.97	22.35	29.19	1.07	22.59	8.84
figure	19	69.50	29.84	– 0.73	26.30	29.17	0.75	21.91	9.18
pin	51	69.29	28.97	– 1.02	29.57	31.30	0.73	18.06	9.68
grand	14	67.93	31.64	– 0.97	21.99	28.26	0.96	23.69	7.91
blind	20	67.90	29.88	– 0.66	17.66	27.26	1.52	23.59	7.89
brain	10	66.82	29.58	– 0.73	19.56	28.50	1.24	25.56	7.33
gun	5	66.50	28.17	– 0.38	21.71	30.84	1.33	26.29	5.87
lip	6	66.29	32.67	– 0.93	24.82	27.16	0.65	24.21	7.88
sun	27	66.00	29.05	– 0.78	25.77	21.76	1.38	21.97	9.07
boy	43	65.00	28.40	– 0.73	17.88	26.18	1.30	20.55	8.98
battle	16	63.35	35.13	– 0.62	18.92	27.86	0.75	24.68	7.45
blood	27	62.11	33.12	– 0.49	29.77	30.28	0.60	21.19	9.43
boat	28	60.38	28.99	– 0.47	31.85	33.87	1.06	20.00	8.65
school	29	58.33	34.19	– 0.29	23.24	28.21	0.22	22.91	8.06
star	62	52.33	33.45	– 0.17	40.84	35.23	1.26	19.00	8.56
